articleCode,articleName,VendorKey,VendorName,categoryInit,categoryName,TypeInit,TypeName,startDate,expireDate,colourInit,colourName,sex,picture,basePrice,salePrice,notes
AR.LWS-QB018,WO,F BLACK,LWS,COOLTOUR,11,T-SHIRT,1,CASUAL,2017-02-18 00:00:00.000,2017-05-19 00:00:00.000,1,BLACK,M,,111300,159000,RECEIVE ORDER FEBRUARY 2017
AR.LWS-QB026,AST, GAS OR GRASS BLACK,LWS,COOLTOUR,3,HAT,3,TRUCKER,2017-02-18 00:00:00.000,2017-05-19 00:00:00.000,1,BLACK,M,,111300,159000,RECEIVE ORDER FEBRUARY 2017
AR.PUB-PJ001,GRU CAMO,PUB,AURIBUDDY,2,BAG,5,SLING BAG,2016-10-21 00:00:00.000,2017-01-19 00:00:00.000,8,CAMO,M,,122500,175000,RECEIVE PUBLIC SLINGBAG,TS,CRW
AR.PUB-PJ002,GRU GREEN,PUB,AURIBUDDY,2,BAG,5,SLING BAG,2016-10-21 00:00:00.000,2017-01-19 00:00:00.000,19,GREEN,M,,122500,175000,RECEIVE PUBLIC SLINGBAG,TS,CRW
AR.PUB-PJ003,OFF BW,PUB,AURIBUDDY,11,T-SHIRT,1,CASUAL,2016-10-21 00:00:00.000,2017-01-19 00:00:00.000,2,BLACK WHITE,M,,122500,175000,RECEIVE PUBLIC SLINGBAG,TS,CRW
AR.PUB-PJ004,PASTE BLACK,PUB,AURIBUDDY,10,SWEATER,1,CASUAL,2016-10-21 00:00:00.000,2017-01-19 00:00:00.000,1,BLACK,M,,171500,245000,RECEIVE PUBLIC SLINGBAG,TS,CRW
AR.PUB-PJ005,HOTLINE BLACK,PUB,AURIBUDDY,10,SWEATER,1,CASUAL,2016-10-21 00:00:00.000,2017-01-19 00:00:00.000,1,BLACK,M,,171500,245000,RECEIVE PUBLIC SLINGBAG,TS,CRW
AR.PUB-PJ006,MAO BLACK,PUB,AURIBUDDY,10,SWEATER,1,CASUAL,2016-10-21 00:00:00.000,2017-01-19 00:00:00.000,1,BLACK,M,,171500,245000,RECEIVE PUBLIC SLINGBAG,TS,CRW
AR.SLT-QF001,MEN ,WOMAN & CHILDREN,SLT,VIRIDIPAL,11,T-SHIRT,1,CASUAL,2017-06-04 00:00:00.000,2017-09-02 00:00:00.000,1,BLACK,M,,140000,175000,RECEIVE ORDER JUNE 2017
RV.FRT-TA001,MUHAMMAD ALI BLACK,FRT,FREEFET,11,T-SHIRT,1,CASUAL,2020-01-17 00:00:00.000,2020-04-16 00:00:00.000,1,BLACK,M,,100750,155000,PENERIMAAN TS,JK,HT
RV.FRT-TA002,MUHAMMAD ALI WHITE,FRT,FREEFET,11,T-SHIRT,1,CASUAL,2020-01-17 00:00:00.000,2020-04-16 00:00:00.000,37,WHITE,M,,100750,155000,PENERIMAAN TS,JK,HT
RV.QUI-TJ001,TSHIRT QUICK 80K,QUI,QUIKSILVER,15,TSHIRT,1,CASUAL,2020-10-08 00:00:00.000,2021-01-06 00:00:00.000,0,NA,U,,45000,80000,PENERIMAAN QUIKSILVER TEES, SHIRT
