sex,categoryName,count,percentage
F,ACCESSORIES,105,82.0312
F,T-SHIRT,10,7.8125
F,BAG,6,4.6875
F,HAT,2,1.5625
F,JACKET,2,1.5625
F,SHOES,1,0.7812
F,SWEATER,1,0.7812
F,WALLET,1,0.7812
KD,T-SHIRT,1,100.0
M,T-SHIRT,4702,39.0046
M,HAT,1904,15.7943
M,SWEATER,1400,11.6134
M,ACCESSORIES,1055,8.7516
M,BAG,843,6.9929
M,JACKET,734,6.0888
M,PANTS,731,6.0639
M,SHIRT,315,2.613
M,SHOES,197,1.6342
M,WALLET,65,0.5392
M,POLO SHIRT,53,0.4397
M,SANDALS,42,0.3484
M,OVERALL,10,0.083
M,BUNDLE,2,0.0166
M,TSHIRT,2,0.0166
U,T-SHIRT,101,40.5622
U,BAG,43,17.2691
U,SWEATER,31,12.4498
U,ACCESSORIES,29,11.6466
U,HAT,23,9.2369
U,WALLET,7,2.8112
U,BUNDLE,4,1.6064
U,JACKET,4,1.6064
U,PANTS,2,0.8032
U,POLO SHIRT,1,0.4016
U,SANDALS,1,0.4016
U,SHIRT,1,0.4016
U,SHOES,1,0.4016
U,TSHIRT,1,0.4016
